Title,Description,Source,Keyword,PublishedAt
Govt hikes compensation amount for flood victims,"The state government has significantly raised compensation for farmers affected by recent floods, nearly doubling the previous amounts for various crops, ensuring better support for flood victims.",1h,flood,
"Bihar Faces Grim Flood Situation, 12.67 Lakh People Affected Across 12 Districts","Chief Minister Nitish Kumar had on Saturday visited a relief camp for flood-hit people in Hajipur, and instructed officials ...",1don MSN,flood,
Flooding cuts off islanders living along India's Ganges River,"Islanders are cut off from the mainland as rising water in the Ganges River floods roads in India:::: Patna, IndiaRelief and ...",46m,flood,
"Telugu star Mahesh Babu meets Telangana CM, hands over cheque of Rs 50 lakh for flood relief",Mahesh Babu met Revanth Reddy at the latter's residence in Hyderabad and made the contribution to the Chief minister's Relief ...,10h,flood,
Lack of river management a key reason for floods in Krishna: Expert,"The immediate cause for the latest floods was a lower pressure built up over the Bay of Bengal, besides a land-based cyclone, ...",7don MSN,flood,
"Gujarat floods: Swift relief operations, over Rs 20 crore in aid for victims, says Jamnagar collector",Jamnagar's recent floods prompted extensive rescue and relief efforts led by Gujarat Chief Minister Bhupendra Patel. Various ...,2d,flood,
"A new White Revolution in dairy sector: Where India stands, where it aims to be","The idea of White Revolution 2.0 revolves around cooperative societies, which were also the bedrock of Operation Flood five ...",2d,flood,
What’s behind India’s latest #MeToo movement in Malayalam cinema?,"A probe panel’s report has lifted the veil on widespread sex abuse in the industry, with more allegations emerging too.",Al Jazeera on MSN12h,flood,
Chess Olympiad 2024 Hit By Budapest Floods? Latest Update As India Face China In Round 7,"Susan Polgar, one of the most celebrated chess players in the world, took to her social media and reported heavy floods that ...",4d,flood,
India must get serious about flood zoning,"Despite its importance, many Indian states have yet to implement flood zoning, contributing to repeated disasters. Part of the problem is that 70 per cent of India's annual rainfall is between June ...",Northeast Now11d,flood,
"India extends $100,000 aid to flood-hit Laos",The government of India has offered emergency humanitarian assistance to the people of Lao People’s Democratic Republic (Lao ...,Hosted on MSN7d,flood,
Whales flood To New Dogecoin Meme To Lock In Big Gains And Free Airdrop,Whale investors have flooded the meme coin market in recent months. Doge2014 is one of the meme coins they have their eye on.,1d,flood,
Dissanayake's victory in Sri Lanka a political earthquake in India's neighbourhood,Marxist Anura Kumara Dissanayake has been sworn in as the new President of Sri Lanka. His election is a political earthquake ...,India Today7h,earthquake,
BREAKING: Earthquake of 3.3 Magnitude Strikes Kutch in Gujarat,An earthquake of 3.3 magnitude struck Kutch in Gujarat in the morning today; no damage or injuries have been reported.,12h,earthquake,
Earthquake today: 3.3 magnitude tremor hits Kutch in Gujarat; no casualty,"Earthquake risk is very high in Gujarat. It has suffered nine major earthquakes in the past 200 years, as per information ...",12h,earthquake,
"5.8-magnitude earthquake rocks Pakistan, tremors felt in Delhi-NCR, other states","Earthquake tremors felt across North India, Pakistan and Afghanistan.",12don MSN,earthquake,
Chandigarh Earthquake: Tremors Hit City As 5.8-Magnitude Quake Strikes Pakistan,"Tremors from an earthquake were felt across Delhi-NCR, Uttar Pradesh, Haryana, Punjab, Jammu and Kashmir, and parts of ...",12d,earthquake,
Earthquake today: 5.8 magnitude earthquake jolts Pakistan; Afghanistan and India also feel the tremors,Earthquake tremors were reported in Afghanistan and Pakistan on Wednesday (Sep 11) at around 7:28 am GMT (12:58 pm IST).,12don MSN,earthquake,
"Earthquake of magnitude 5.8 strikes Pakistan, tremors felt in Delhi, neighbouring areas","An earthquake measuring 5.8 on the Richter scale hit Pakistan on Wednesday, causing mild tremors in Delhi and several regions ...",12d,earthquake,
"Earthquake tremors felt in Delhi-NCR, 5.8 magnitude recorded on Richter Scale","Tremors were also felt in Uttar Pradesh, Rajasthan, Haryana, Punjab, and Jammu and Kashmir. Afghanistan was also jolted by ...",12d,earthquake,
Earthquake in Delhi-NCR: Tremors felt after 5.8-magnitude quake rocks Pakistan,"Several people claimed that they felt tremors in Peshawar, Islamabad and Lahore in Pakistan, and New Delhi, Uttar Pradesh, ...",12d,earthquake,
Earthquake of 5.8 magnitude hits Pakistan; tremors felt in India and Afghanistan,Mild tremors were felt in Delhi and the national capital region (NCR) after an earthquake of magnitude 5.8 struck Pakistan on ...,12d,earthquake,
Earthquake Tremors Felt Across Delhi-NCR After 5.8 Magnitude Quake Strikes Pakistan,"PM today, registering a magnitude of 5.8, according to the National Center for Seismology. The tremors were felt across the ...",Oneindia12d,earthquake,
India aims for global peace and growth not dominance: PM Modi,"India does not seek its dominance but wants to play a role in the prosperity of the world, Prime Minister Narendra Modi said ...",1d,earthquake,
Are all giant waves crashing ashore signs of Tsunami?,"While Tsunami waves can reach heights of 30 to 40 meters, 'Kallakadal' waves can reach a maximum height of 11 ...",onmanorama13d,tsunami,
"A Landslide, Mega-Tsunami And A Mysterious Vibration","After a massive glacier collapse in Greenland triggered a mega-tsunami, the entire planet recorded vibrations for nine straight days - much longer than any earthquake. So what actually happened?",Hosted on MSN8d,tsunami,
Meme tsunami as BookMyShow crashes after Coldplay India ticket sale begins: ‘Crashed without even selling?',"After a nine-year hiatus, Coldplay is making a return visit to India, and fans are ecstatic and eager to get tickets. The ...",1d,tsunami,
"Mysterious Hum, Triggered By 200-Metre Tall Greenland Tsunami, Shook Earth For Nine Days In A Row","It started with a melting glacier that set off a huge landslide, which triggered a 650-foot high mega-tsunami in Greenland ...",8d,tsunami,
Explained: Why Earth Vibrated For 9 Days Continuously In 2023? Know About Greenland Landslide Mega Tsunami,"Due to climate change and rising global temperatures, the glaciers had been gradually thinning. When the glacier finally gave ...",8d,tsunami,
"'Meri JEE Ki Rank...': As Lakhs Wait In BookMyShow Queue For Coldplay Tickets, Meme Tsunami Hits The Internet",Fans eager to buy tickets for Coldplay's concerts in Mumbai faced issues as the BookMyShow app crashed. When tickets went on ...,15h,tsunami,
"Opinion | Quad - And India's Role In It - Will Remain Relevant, Thanks To China",Both the Quad as a partnership and India's presence in such partnerships are expected to continue in a world where the rise ...,1d,tsunami,
Was there a 650-foot tsunami in Greenland fjord that lasted for 9 days? This is what scientists are saying,Researchers have found evidence of a large wave that resulted from a landslide and glacier melting in Greenland. The nine-day ...,10don MSN,tsunami,
Greenland landslide sparks mega tsunami and 9-day earthquake-like temors – All you need to know,"The landslide, driven by melting glaciers that could no longer support the rock face above, resulted in a persistent tsunami ...",The Financial Express8d,tsunami,
"Climate Change: Greenland megatsunami triggered by landslide causes 9-day earthquake-like tremors, says new study","The study, published in The Seismic Record, reveals how a Greenland megatsunami triggered seismic waves that lasted nine days ...",10d,tsunami,
"‘We heard screaming, saw the fire but couldn’t escape’: 13 affected in Ghatkopar fire","Then, my family and other residents went to the terrace and waited to be rescued,” Ranjana Sonawane, a sixth floor resident ...",The Indian Express8d,fire,
"54-year-old temple jumbo injured in fire accident dies, laid to rest in Kundrakudi","SIVAGANGA: A 54-year-old female elephant of the Arulmigu Shanmuganatha Peruman Temple in Kundrakudi, which sustained burn ...",9don MSN,fire,
13 suffer from suffocation after fire in Mumbai building; around 90 rescued,MUMBAI: Thirteen persons suffered from suffocation after a fire broke on the ground floor of a seven-storey building in ...,9don MSN,fire,
"Latest News, Live Updates Today September 12, 2024: Laura Loomer under fire for ‘extremely racist’ post about Kamala Harris’ Indian heritage: ‘This is appalling’","Welcome to the live updates platform for Hindustan Times. Follow all the major news updates, headlines and breaking news stories from India and around the world right here. Track the real-time ...",11don MSN,fire,
"Endured bombings, missiles, Russian soldiers’ friendly fire: Indian survivor of Ukrainian war front describes harrowing ordeal","Sufiyan described the relentless fear and struggle for survival. “Every day was a constant battle to stay alive,” he said.",9d,fire,
Fire temporarily sidelines donuts at Indian Ladder Farms,The manager of Indian Ladder Farms said there’s been an outpouring of community support after a recent kitchen fire.The kitchen fire has shut down apple cider donut production for the time being.It ...,WNYT NewsChannel 132d,fire,
Lane closures possible in Brevard after early morning bridge fire,"On Monday morning, a semi-truck fire closed all eastbound lanes of State Road 528 bridge into Merritt Island. Troopers were ...",7h,fire,
"Xiaomi Debuts Redmi Smart Fire TV 2024 Series With 4K HDR Display: Price In India, Features",Xiaomi's Redmi TV lineup gets its biggest display model in the market and powered by Fire TV OS platform means Alexa comes by ...,6d,fire,
"Metals, energy boost Indian shares to record highs","Indian shares opened higher on Monday, led by metals on a weaker dollar and the prospect of stimulus measures in top consumer ...",7don MSN,fire,
"Indian Navy INCET Recruitment 2024 Exam Cancelled, New Dates To Be Announced Soon",Indian Navy INCET Recruitment 2024: The Indian Navy has canceled the Indian Navy Civilian Entrance Test (INCET 01/2024) due ...,13d,fire,
Rohit Sharma almost confirms under-fire batter's place in playing XI for first Test vs Bangladesh,India skipper Rohit Sharma addressed the media ahead of the first Test of the two-match series against Bangladesh. He opened ...,6d,fire,
Fire temporarily sidelines donuts at Indian Ladder Farms,The manager of Indian Ladder Farms said there’s been an outpouring of community support after a recent kitchen fire. The kitchen fire has shut down apple cider donut production for the time being.,WNYT NewsChannel 133d,fire,
"Cyclone Yagi's new depression might bring another rain spell to Delhi next week, heavy rainfall for East India","Meteorological experts are closely monitoring the remnants of Cyclone Yagi, which are expected to regain strength and ...",9don MSN,hurricane,
Cyclone Yagi's Rampage: Five Countries Hit with Floods and Torrential Rain from East to West,"The surprising factor behind this drastic shift in weather is Cyclone Yagi, a storm that originated thousands of kilometers ...",abp LIVE10d,hurricane,
Hurricane hunters investigate potential tropical storm that could affect Gulf Coast midweek,Air Force hurricane hunters investigate potential tropical cyclone Number Nine in the Caribbean about 110 miles ...,19m,hurricane,
Remnants of cyclone may merge with storm in Bay of Bengal,"Remnants of Typhoon Yagi, now a tropical depression, may merge with a system near Odisha, potentially intensifying monsoon ...",13d,hurricane,
Southeast US under major storm warning as hurricane watch issued for parts of Cuba and Mexico,"Michael Lowry, a hurricane specialist and storm surge expert, wrote in his latest update that it's likely a Category 3 or ...",Indiatimes on MSN2h,hurricane,
US braces for potentially strong hurricane 'Helene' in coming days; Here is all you need to know,"The National Hurricane Centre has reported a disturbance in the Gulf of Mexico due to Possible Hurricane Helene, which could bring heavy rains to Central America. Meanwhile, Tropical Storm John has ...",3h,hurricane,
How 'Haryana Hurricane' Kapil Dev took the cricket world by storm,"Kapil Dev, dubbed the 'Haryana Hurricane,' became an iconic figure in Indian cricket. Renowned for his aggressive batting and ...",6don MSN,hurricane,
Difference Between Cyclone and Hurricane,"Learn the key differences between cyclones and hurricanes, two powerful tropical storms distinguished mainly by their ...",12don MSN,hurricane,
India sends humanitarian aid to Saint Vincent and the Grenadines for post-Hurricane Beryl rehabilitation,India has sent humanitarian aid to Saint Vincent and the Grenadines for the rehabilitation of settlements following the devastation caused by Hurricane Beryl ...,Mid Day1d,hurricane,
New Orleans braces for Hurricane Francine; evacuations ordered,Hurricane Francine threatened New Orleans and the wider Gulf Coast as far east as the Alabama and Florida border on Wednesday ...,ThePrint12d,hurricane,
"Haryana Hurricane, Rajasthan Rulers, And Delhi Dragons Unveil Captains And Jerseys For The 2024 IPKL Season","The IPKL 2024 season is poised to be a celebration of talent, strategy, and fierce competition. As the teams take to the mat, ...",5d,hurricane,
"India: 50,000 trees uprooted by tornado-like winds in Mulugu","Note: partially no sound] In a rare and devastating weather event in southern India's Telangana, approximately 50,000 trees ...",StringersHub on MSN19d,tornado,
EF-0 tornado confirmed near Indian Falls,"INDIAN FALLS — An EF-0 tornado touched down Monday night along Route 77, the National Weather Service has confirmed. The ...",The Daily News Online12d,tornado,
Indian Lake rebuilds after March tornado: How the hardest-hit areas look 6 months later,"On a day in early September, North Oak Street in Lakeview — one of Indian Lake's villages — was quiet. The picturesque ...",8d,tornado,
WazirX Hacker Begins Laundering $11.6M ETH via Tornado Cash,"In the aftermath of the WazirX hack case, the exploiter has recently moved 5,000 Ethereum (ETH) tokens and began laundering ...",cryptonewsz5d,tornado,
Tornado sweeps through Aldershot,A tornado has reportedly swept through Aldershot causing damage to properties and felling trees. No one was hurt during the ...,2don MSN,tornado,
2 more tornadoes confirmed in WNY,"Two tornadoes touched down in WNY Monday evening, bringing the total tornado count to nine tornadoes in WNY this active ...",12d,tornado,
NWS confirms two tornadoes touched down in Western New York on Monday,"The National Weather Service confirmed two tornadoes, one in Pembroke and one on Grand Island, touched down Monday.",WKBW12d,tornado,
Two more tornadoes added to New York's record-breaking total,"New York’s record-breaking tornado total in 2024 continues to grow, with two more occurring in Western New York during Monday ...",12d,tornado,
Wazir X hacker moves fresh $11.6 million in Ethereum to Tornado cash,The Hacker behind the $230 million exploit of India’s largest crypto exchange Wazir X has made a fresh movement of ...,Nairametrics5d,tornado,
"WazirX Hacker Moves $32M in ETH to Tornado Cash in 4 Days, Binance Refutes Founder’s Claims","WazirX hacker transfers $32M in ETH to Tornado Cash, retains over $50M in tokens. WazirX's CEO blames Binance and custodian ...",coinspeaker4d,tornado,
Mars' tallest volcano can awake after years; massive plume of magma rising beneath the surface,A rising plume of magma under Mars’ Tharsis volcanic region could one day trigger a colossal eruption. This new discovery ...,4d,volcano,
"As enormous plume of magma rises beneath Mars' tallest volcano, will Olympus Mons erupt again?","Get the latest Business News, Live Share & Stock Market Updates, Top News from India and across world. Read Top Business News ...",cnbctv183d,volcano,
‘A volcano or ancient impact’: NASA’s InSight mission discovers mysterious structures beneath Mars’ surface,"Recent research has unveiled massive, hidden structures beneath Mars’ surface, where an ancient ocean is believed to have ...",4d,volcano,
‘Active volcano on Jupiter’s moon’: NASA’s Juno Spacecraft discovers Earth like condition near the biggest planet in our solar system,"NASA’s Juno spacecraft has detected a large new active volcano on Jupiter’s moon Io, the most volcanically active body in the ...",11d,volcano,
"Moon Had Surprisingly Recent Volcanic Activity, Samples Confirm","Volcanoes were erupting on the Moon as recently as 120 million years ago, evidence collected by a Chinese spacecraft suggests ...",15d,volcano,
"The Moon had Surprisingly Recent Volcanic Activity, Samples From Chinese Space Mission Confirm","Volcanoes were erupting on the Moon as recently as 120 million years ago, evidence collected by a Chinese spacecraft suggests ...",15don MSN,volcano,
Hundreds flee after Philippine volcano warning,Hundreds of people in the Philippines have fled their homes after Kanlaon volcano emitted harmful gases. Local authorities ...,12d,volcano,
Moon’s volcanoes erupted during dinosaur era; new study reveals,Moon lasted much longer than scientists previously thought. Recent findings suggest that lunar volcanoes were still erupting ...,13d,volcano,
Arunachal Pradesh Singam Volcano Evening Lottery Winners Announced On 15 September,Discover the winners of the Arunachal Pradesh Singam Volcano Evening lottery on 15. See who won and explore prize details.,Oneindia8d,volcano,
Kilauea volcano in Hawaii erupts as new vent opens in surface,The Kilauea volcano in Hawaii erupted as a new vent opened on the surface. Officials said the new fissure vent was located ...,ViralPress on MSN13h,volcano,
Philippines Kanlaon Volcano eruption warning forces evacuation of tourists and locals,Travel in the Philippines has been disrupted due to concerns over Kanlaon Volcano eruptions. Nearly 300 residents were evacuated after the volcano emitted harmful gases. Authorities are closely ...,12don MSN,volcano,
Arunachal Pradesh Lottery Singam Volcano Morning Winners Announced On 15 March,Discover the winners of the Arunachal Pradesh Lottery Singam Volcano Morning on 15 March. See who won big in this weekly draw ...,Oneindia8d,volcano,
Vadodara floods helped eight crocodiles flee zoo in August,,The Times of India,floods,20 hours ago
Video | Union Govt Vs West Bengal Government Over Floods In West Bengal,,NDTV,floods,10 hours ago
"Bihar: 10 killed as delayed floods displace thousands, destroy standing crops",,Down To Earth Magazine,floods,6 hours ago
Weather tracker: Extensive flooding in Japan after ‘unprecedented’ rainfall,,The Guardian,floods,5 hours ago
"Kim Jong Un on ‘rampage,’ punishing local officials over floods",,CNN,floods,3 days ago
At least six killed in Japan after floods hit quake-stricken Noto Peninsula,,Al Jazeera English,floods,13 hours ago
Andhra And Telangana Floods: Nandamuri Mohana Krishna Donates Rs 25 Lakh,,News18,floods,7 hours ago
Devastating floods in Japan: Record rains cause destruction,,Moneycontrol,floods,9 hours ago
Floods: Initial List of Beneficiaries Published on Sunday,,Deccan Chronicle,floods,Yesterday
Floods In Gaza Intensify Hardships For Displaced Families,,NewsX,floods,1 hour ago
At least six dead in heavy floods in central Japan: Media,,Al Arabiya English,floods,14 hours ago
"Homes Submerged, People Wait in Relief Camps as Floods Ravage More Than 50 Villages in Bengal",,The Wire,floods,4 days ago
"Bengal Floods: Power Secretary Steps Down From Board Of DVC, CM Banerjee Again Writes To PM Modi",,Free Press Journal,floods,22 hours ago
‘Flash flood within 15 mins’: Mumbai residents share videos of waterlogging; Maharashtra braces for ‘very heavy rains’ | Today News,,Mint,floods,9 hours ago
Small businesses bear the brunt of flood fallout in Vijayawada,,The Hindu,floods,4 hours ago
Japan: Six dead in floods hitting central region,,AL24 News,floods,8 hours ago
"‘If you do 5 things, you may make a mistake… don’t create narratives around it’: Mamata on Bengal flood response",,The Indian Express,floods,5 hours ago
Chief secretary Manoj Pant visits flood-affected areas of Khanakul and Arambagh in Hooghly,,Telegraph India,floods,18 hours ago
"Bengal CM Mamata blames Damodar Valley Corporation for flood situation, says requests to Centre unanswered",,Deccan Herald,floods,4 hours ago
UK government launches Rural Flood Resilience Partnership,,ThePrint,floods,11 hours ago
Mild 4 magnitude earthquake strikes Nepal’s Baitadi district,,Deccan Herald,earthquakes,2 days ago
3.3 magnitude tremor hits Kutch in Gujarat; no casualty reported,,The New Indian Express,earthquakes,12 hours ago
Earthquake today: 3.3 magnitude tremor hits Kutch in Gujarat; no casualty,,Zee Business,earthquakes,12 hours ago
"Europe, ready to trigger earthquakes across the continent: They want to find this energy flowing through the subsoil",,ECOticias,earthquakes,2 days ago
"Over 28 injured in earthquake in Iran, tremors felt in Kutch in Gujarat",,Kalinga TV,earthquakes,9 hours ago
Magnitude 3.0 earthquake rocks NSW,,MSN,earthquakes,11 hours ago
Artificial Intelligence Predicts Earthquakes With Unprecedented Accuracy,,SciTechDaily,earthquakes,20 Aug
Most detailed study yet of seismic activity links fault strength to likelihood of large earthquakes,,Phys.org,earthquakes,14 days ago
"5.8-magnitude earthquake rocks Pakistan, tremors felt in Delhi-NCR, other states",,Hindustan Times,earthquakes,12 days ago
Giant oarfish: The 'doomsday' fish of legend that supposedly foreshadows earthquakes,,Livescience.com,earthquakes,16 days ago
"What is happening in Southern California? 14 earthquakes so far this year, breaks record of quakes in sing",,The Economic Times,earthquakes,10 days ago
5.3 magnitude earthquake strikes Taiwan's east coast,,The Times of India,earthquakes,3 days ago
Earthquakes in Baramulla: Two back-to-back quakes rock Kashmir district,,Hindustan Times,earthquakes,20 Aug
This Japanese region is still recovering from a deadly earthquake. Now record rains have flooded its streets,,CNN,earthquakes,15 hours ago
Japan floods: six dead after rain pounds region still recovering from earthquake,,The Guardian,earthquakes,15 hours ago
Images Show Russian Arsenal That Blew up With Earthquake Strength,,Business Insider,earthquakes,4 hours ago
Mt. Gareloi M2.6,,Alaska Earthquake Center,earthquakes,52 minutes ago
"3.2-magnitude quake wakes Los Angeles, seismologists say. ‘Weirdest earthquake ever’",,Sacramento Bee,earthquakes,5 hours ago
"Magnitude 5.8 earthquake strikes Coquimbo in Chile, EMSC says",,Reuters Canada,earthquakes,16 hours ago
Magnitude 3.2 earthquake strikes near Inglewood,,NBC Los Angeles,earthquakes,4 hours ago
"Meme tsunami as BookMyShow crashes after Coldplay India ticket sale begins, X flooded with complaints",,Hindustan Times,tsunami,2 days ago
Unveiling Mystery: What Triggered Greenland's 2023 Landslide-Generated Tsunami?,,Republic World,tsunami,5 hours ago
Unbelievable 2024: Tsunami Of Amazing Films,,M9,tsunami,8 hours ago
টানা কম্পন বিশ্ব জুড়ে! মহা-সুনামিতেই ধ্বংস?,,Zee ২৪ ঘণ্টা,tsunami,4 days ago
‘A mountain collapsed’: Scientists discover the cause of Earth’s nine violent vibrations in nine days,,Business Today,tsunami,9 hours ago
An ‘Unidentified Seismic Object’ Shook Earth for Nine Days—Now We Know What It Was,,Scientific American,tsunami,10 days ago
A rockslide-generated tsunami in a Greenland fjord rang Earth for 9 days,,Science,tsunami,11 days ago
Scientists Intrigued by Detection of 650-Foot Mega-Tsunami,,Futurism,tsunami,9 days ago
Entire Earth vibrated for nine days after climate-triggered mega-tsunami,,The Guardian,tsunami,11 days ago
650-Foot Run-Up: Megatsunami in Greenland Sends Seismic Waves Worldwide,,SciTechDaily,tsunami,13 days ago
‘A mountain collapsed’: Scientists discover the cause of Earth’s nine violent vibrations in nine days,,Business Today,tsunami,9 hours ago
Japan AI Startup Opens Data Center in Tsunami-Hit Town,,w.media,tsunami,17 hours ago
Massive Greenland tsunami shook Earth for nine days,,BBC.com,tsunami,11 days ago
"Tsunami warning: 33-feet-high waves due to massive earthquake likely to kill 3.2 lakh, cause loss of ₹125 lakh crore | Mint",,Mint,tsunami,15 Aug
The skyscraper-sized tsunami that vibrated through the entire planet and no one saw,,The Conversation,tsunami,11 days ago
Tsunami Warning System: Preparing for the unpredictable,,UNESCO,tsunami,5 Jul
A tsunami in a remote fjord rang Earth like a bell for 9 days,,Science,tsunami,11 days ago
A powerful earthquake hits off southern Japan; tsunami advisory issued,,The Hindu,tsunami,8 Aug
Japanese Man Who Lost His Wife In 2011 Tsunami Still Searches For Her,,NDTV,tsunami,18 Aug
A landslide triggered a 650-foot mega-tsunami in Greenland. Then came something inexplicable,,CNN,tsunami,9 days ago
"Hezbollah, Israel exchange heavy fire after deadly Israeli strike",,Telegraph India,deadly+fire,1 day ago
"Hezbollah, Israel trade heavy fire following deadly Israeli strike over south Lebanon",,Greater Kashmir,deadly+fire,2 days ago
"Hezbollah, Israel exchange heavy fire after deadly Israeli strike",,Bangkok Post,deadly+fire,2 days ago
China releases investigation result on deadly building fire that killed 39 in E. China’s Jiangxi,,Global Times,deadly+fire,2 days ago
Grenfell Tower fire: Who is to blame for London's deadly disaster?,,The Economic Times,deadly+fire,19 days ago
Heavy fire along Israel-Lebanon border after deadly Beirut strike,,DAWN.com,deadly+fire,1 day ago
South Korean lithium battery maker CEO arrested over deadly fire incident,,Business Standard,deadly+fire,29 Aug
Portugal brings deadly forest fires under control,,Phys.org,deadly+fire,4 days ago
Lebanon Death Toll Tops 270 as Israel and Hezbollah Trade Heavy Fire: Live Updates,,The New York Times,deadly+fire,1 hour ago
